Segs: 1706 total, 1474 passed, 232 filtered
Combined GA: pop=192 gen=100 fitness=LVS*1000-DRC
Gen 1: best=LVS:252/DRC:0/F:252000 med=LVS:248/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 2: best=LVS:252/DRC:0/F:252000 med=LVS:249/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 3: best=LVS:252/DRC:0/F:252000 med=LVS:250/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 4: best=LVS:252/DRC:0/F:252000 med=LVS:250/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 5: best=LVS:252/DRC:0/F:252000 med=LVS:250/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 6: best=LVS:252/DRC:0/F:252000 med=LVS:250/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 7: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 8: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 9: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 10: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 11: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 12: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 13: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 14: best=LVS:252/DRC:0/F:252000 med=LVS:251/DRC:0 alltime=LVS:252/DRC:0 (2.3s)
Gen 15: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 16: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 17: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.3s)
Gen 18: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 19: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 20: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 21: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 22: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
Gen 23: best=LVS:252/DRC:0/F:252000 med=LVS:252/DRC:0 alltime=LVS:252/DRC:0 (2.2s)
