Segments: 1706 total, 1474 passed, 232 filtered
GA: pop=192, gen=50, segs=1706, filtered=232
Gen 1/50: best=235 median=228 alltime=235 (1.6s)
Gen 2/50: best=236 median=230 alltime=236 (1.6s)
Gen 3/50: best=237 median=232 alltime=237 (1.6s)
Gen 4/50: best=240 median=233 alltime=240 (1.6s)
Gen 5/50: best=241 median=234 alltime=241 (1.6s)
Gen 6/50: best=242 median=235 alltime=242 (1.6s)
Gen 7/50: best=243 median=236 alltime=243 (1.6s)
Gen 8/50: best=243 median=238 alltime=243 (1.6s)
Gen 9/50: best=244 median=239 alltime=244 (1.6s)
Gen 10/50: best=245 median=240 alltime=245 (1.6s)
Gen 11/50: best=247 median=241 alltime=247 (1.6s)
Gen 12/50: best=248 median=242 alltime=248 (1.6s)
Gen 13/50: best=248 median=242 alltime=248 (1.6s)
Gen 14/50: best=248 median=243 alltime=248 (1.6s)
Gen 15/50: best=248 median=243 alltime=248 (1.6s)
Gen 16/50: best=249 median=244 alltime=249 (1.6s)
Gen 17/50: best=249 median=245 alltime=249 (1.6s)
Gen 18/50: best=250 median=245 alltime=250 (1.6s)
Gen 19/50: best=250 median=246 alltime=250 (1.6s)
Gen 20/50: best=251 median=246 alltime=251 (1.7s)
Gen 21/50: best=251 median=246 alltime=251 (1.6s)
Gen 22/50: best=251 median=247 alltime=251 (1.6s)
Gen 23/50: best=251 median=247 alltime=251 (1.7s)
Gen 24/50: best=251 median=247 alltime=251 (1.6s)
Gen 25/50: best=251 median=248 alltime=251 (1.6s)
Gen 26/50: best=251 median=248 alltime=251 (1.7s)
Gen 27/50: best=251 median=248 alltime=251 (1.6s)
Gen 28/50: best=251 median=248 alltime=251 (1.6s)
Gen 29/50: best=252 median=249 alltime=252 (1.6s)
Gen 30/50: best=252 median=249 alltime=252 (1.6s)
Gen 31/50: best=252 median=249 alltime=252 (1.6s)
Gen 32/50: best=252 median=249 alltime=252 (1.6s)
Gen 33/50: best=252 median=249 alltime=252 (1.6s)
Gen 34/50: best=252 median=250 alltime=252 (1.6s)
Gen 35/50: best=252 median=250 alltime=252 (1.6s)
Gen 36/50: best=252 median=250 alltime=252 (1.6s)
Gen 37/50: best=252 median=250 alltime=252 (1.6s)
Gen 38/50: best=252 median=250 alltime=252 (1.6s)
Gen 39/50: best=252 median=250 alltime=252 (1.6s)
Gen 40/50: best=252 median=251 alltime=252 (1.6s)
Gen 41/50: best=252 median=251 alltime=252 (1.6s)
Gen 42/50: best=252 median=251 alltime=252 (1.6s)
Gen 43/50: best=252 median=251 alltime=252 (1.6s)
Gen 44/50: best=252 median=251 alltime=252 (1.6s)
Gen 45/50: best=252 median=251 alltime=252 (1.6s)
Gen 46/50: best=252 median=251 alltime=252 (1.6s)
Gen 47/50: best=252 median=251 alltime=252 (1.6s)
Gen 48/50: best=252 median=251 alltime=252 (1.6s)
Gen 49/50: best=252 median=251 alltime=252 (1.6s)
Gen 50/50: best=252 median=251 alltime=252 (1.6s)

=== GA COMPLETE ===
Best ever: 252
Extra segments (from filtered): 91
Removed segments (from passed): 225
